assignment_id,timestamp,agent_id,request_id,completion_time,handle_time_minutes,was_followup,from_absent_agent,priority_level
ASSIGN_0,2024-05-01T09:00:00-04:00,alice.johnson,REQ_P1_002,2024-05-01T11:56:00-04:00,176.0,False,False,1
ASSIGN_1,2024-05-01T09:00:00-04:00,carol.davis,REQ_P1_001,2024-05-01T11:56:00-04:00,176.0,False,False,1
ASSIGN_2,2024-05-01T09:00:00-04:00,eve.martinez,REQ_P2_001,2024-05-01T11:24:00-04:00,144.0,False,False,2
ASSIGN_3,2024-05-01T09:00:00-04:00,bob.smith,REQ_P2_002,2024-05-01T11:24:00-04:00,144.0,False,False,2
ASSIGN_4,2024-05-01T09:00:00-04:00,dave.wilson,REQ_P3_002,2024-05-01T11:40:00-04:00,160.0,False,False,3
ASSIGN_5,2024-05-01T11:24:00-04:00,eve.martinez,REQ_P3_001,2024-05-01T14:04:00-04:00,160.0,False,False,3
ASSIGN_6,2024-05-01T11:24:00-04:00,bob.smith,REQ_P4_001,2024-05-01T13:32:00-04:00,128.0,False,False,4
ASSIGN_7,2024-05-01T11:40:00-04:00,dave.wilson,REQ_P4_002,2024-05-01T13:48:00-04:00,128.0,False,False,4
ASSIGN_8,2024-05-01T11:56:00-04:00,alice.johnson,REQ_CMN_001,2024-05-01T13:48:00-04:00,112.0,False,False,5
ASSIGN_9,2024-05-01T11:56:00-04:00,carol.davis,REQ_CMN_003,2024-05-01T13:48:00-04:00,112.0,False,False,5
ASSIGN_10,2024-05-01T13:32:00-04:00,bob.smith,REQ_FU_FRANK_001,2024-05-01T13:44:00-04:00,12.0,False,True,5
ASSIGN_11,2024-05-01T13:44:00-04:00,bob.smith,REQ_CMN_004,2024-05-01T15:36:00-04:00,112.0,False,False,5
ASSIGN_12,2024-05-01T13:48:00-04:00,carol.davis,REQ_CMN_002,2024-05-01T15:40:00-04:00,112.0,False,False,5
ASSIGN_13,2024-05-01T13:48:00-04:00,dave.wilson,REQ_FU_FRANK_002,2024-05-01T14:00:00-04:00,12.0,False,True,5
ASSIGN_14,2024-05-01T13:48:00-04:00,alice.johnson,REQ_CMN_005,2024-05-01T15:40:00-04:00,112.0,False,False,5
ASSIGN_15,2024-05-01T14:00:00-04:00,dave.wilson,REQ_FU_DAVE_001,2024-05-01T14:12:00-04:00,12.0,True,False,5
ASSIGN_16,2024-05-01T14:04:00-04:00,eve.martinez,REQ_CMN_007,2024-05-01T15:56:00-04:00,112.0,False,False,5
ASSIGN_17,2024-05-01T14:12:00-04:00,dave.wilson,REQ_CMN_006,2024-05-01T16:04:00-04:00,112.0,False,False,5
ASSIGN_18,2024-05-01T15:36:00-04:00,bob.smith,REQ_CMN_008,2024-05-01T17:28:00-04:00,112.0,False,False,5
ASSIGN_19,2024-05-01T15:40:00-04:00,alice.johnson,REQ_CMN_009,2024-05-01T17:32:00-04:00,112.0,False,False,5
ASSIGN_20,2024-05-01T15:40:00-04:00,carol.davis,REQ_CMN_010,2024-05-01T17:32:00-04:00,112.0,False,False,5
ASSIGN_21,2024-05-01T15:56:00-04:00,eve.martinez,REQ_CMN_011,2024-05-01T17:48:00-04:00,112.0,False,False,5
ASSIGN_22,2024-05-01T16:04:00-04:00,dave.wilson,REQ_CMN_012,2024-05-01T17:56:00-04:00,112.0,False,False,5
