assignment_id,timestamp,agent_id,request_id,completion_time,was_followup,from_absent_agent,priority_level
ASSIGN_0,2024-01-15T09:00:00-05:00,AGENT001,REQ_P1_005,2024-01-18T09:00:00-05:00,False,False,1
ASSIGN_1,2024-01-15T09:00:00-05:00,AGENT003,REQ_P1_004,2024-01-18T09:00:00-05:00,False,False,1
ASSIGN_2,2024-01-15T09:00:00-05:00,AGENT007,REQ_P1_003,2024-01-18T09:00:00-05:00,False,False,1
ASSIGN_3,2024-01-15T09:00:00-05:00,AGENT008,REQ_P1_002,2024-01-18T09:00:00-05:00,False,False,1
ASSIGN_4,2024-01-15T09:00:00-05:00,AGENT006,REQ_P1_001,2024-01-18T09:00:00-05:00,False,False,1
ASSIGN_5,2024-01-15T09:00:00-05:00,AGENT002,REQ_P2_005,2024-01-20T09:00:00-05:00,False,False,2
ASSIGN_6,2024-01-15T09:00:00-05:00,AGENT005,REQ_P2_004,2024-01-20T09:00:00-05:00,False,False,2
ASSIGN_7,2024-01-15T09:00:00-05:00,AGENT004,REQ_P2_003,2024-01-20T09:00:00-05:00,False,False,2
ASSIGN_8,2024-01-18T09:00:00-05:00,AGENT001,REQ_P2_002,2024-01-23T09:00:00-05:00,False,False,2
ASSIGN_9,2024-01-18T09:00:00-05:00,AGENT007,REQ_P2_001,2024-01-23T09:00:00-05:00,False,False,2
ASSIGN_10,2024-01-18T09:00:00-05:00,AGENT003,REQ_P3_005,2024-01-23T09:00:00-05:00,False,False,3
ASSIGN_11,2024-01-18T09:00:00-05:00,AGENT008,REQ_P3_004,2024-01-23T09:00:00-05:00,False,False,3
ASSIGN_12,2024-01-18T09:00:00-05:00,AGENT006,REQ_P3_003,2024-01-23T09:00:00-05:00,False,False,3
ASSIGN_13,2024-01-20T09:00:00-05:00,AGENT005,REQ_P3_002,2024-01-25T09:00:00-05:00,False,False,3
ASSIGN_14,2024-01-20T09:00:00-05:00,AGENT004,REQ_P3_001,2024-01-25T09:00:00-05:00,False,False,3
ASSIGN_15,2024-01-20T09:00:00-05:00,AGENT002,REQ_P4_005,2024-01-27T09:00:00-05:00,False,False,4
ASSIGN_16,2024-01-23T09:00:00-05:00,AGENT001,REQ_P4_004,2024-01-30T09:00:00-05:00,False,False,4
ASSIGN_17,2024-01-23T09:00:00-05:00,AGENT006,REQ_P4_003,2024-01-30T09:00:00-05:00,False,False,4
ASSIGN_18,2024-01-23T09:00:00-05:00,AGENT008,REQ_P4_002,2024-01-30T09:00:00-05:00,False,False,4
ASSIGN_19,2024-01-23T09:00:00-05:00,AGENT003,REQ_P4_001,2024-01-30T09:00:00-05:00,False,False,4
ASSIGN_20,2024-01-23T09:00:00-05:00,AGENT007,REQ_FOLLOWUP_ABSENT_001,2024-01-30T09:00:00-05:00,False,True,5
ASSIGN_21,2024-01-25T09:00:00-05:00,AGENT004,REQ_FOLLOWUP_ABSENT_002,2024-02-01T09:00:00-05:00,False,True,5
ASSIGN_22,2024-01-25T09:00:00-05:00,AGENT005,REQ_FOLLOWUP_ABSENT_003,2024-02-01T09:00:00-05:00,False,True,5
ASSIGN_23,2024-01-27T09:00:00-05:00,AGENT002,REQ_P5_010,2024-02-03T09:00:00-05:00,False,False,5
ASSIGN_24,2024-01-30T09:00:00-05:00,AGENT001,REQ_FOLLOWUP_ABSENT_004,2024-02-06T09:00:00-05:00,False,True,5
ASSIGN_25,2024-01-30T09:00:00-05:00,AGENT003,REQ_P5_009,2024-02-06T09:00:00-05:00,False,False,5
ASSIGN_26,2024-01-30T09:00:00-05:00,AGENT008,REQ_FOLLOWUP_ABSENT_005,2024-02-06T09:00:00-05:00,False,True,5
ASSIGN_27,2024-01-30T09:00:00-05:00,AGENT007,REQ_P5_008,2024-02-06T09:00:00-05:00,False,False,5
ASSIGN_28,2024-01-30T09:00:00-05:00,AGENT006,REQ_P5_007,2024-02-06T09:00:00-05:00,False,False,5
ASSIGN_29,2024-02-01T09:00:00-05:00,AGENT004,REQ_P5_006,2024-02-08T09:00:00-05:00,False,False,5
ASSIGN_30,2024-02-01T09:00:00-05:00,AGENT005,REQ_SKILLC_003,2024-02-08T09:00:00-05:00,False,False,5
ASSIGN_31,2024-02-03T09:00:00-05:00,AGENT002,REQ_SKILLB_002,2024-02-10T09:00:00-05:00,False,False,5
ASSIGN_32,2024-02-06T09:00:00-05:00,AGENT006,REQ_P5_005,2024-02-13T09:00:00-05:00,False,False,5
ASSIGN_33,2024-02-06T09:00:00-05:00,AGENT007,REQ_SKILLB_001,2024-02-13T09:00:00-05:00,False,False,5
ASSIGN_34,2024-02-06T09:00:00-05:00,AGENT001,REQ_P5_004,2024-02-13T09:00:00-05:00,False,False,5
ASSIGN_35,2024-02-06T09:00:00-05:00,AGENT008,REQ_P5_003,2024-02-13T09:00:00-05:00,False,False,5
ASSIGN_36,2024-02-06T09:00:00-05:00,AGENT003,REQ_P5_002,2024-02-13T09:00:00-05:00,False,False,5
ASSIGN_37,2024-02-08T09:00:00-05:00,AGENT004,REQ_P5_001,2024-02-15T09:00:00-05:00,False,False,5
ASSIGN_38,2024-02-08T09:00:00-05:00,AGENT005,REQ_SKILLC_002,2024-02-15T09:00:00-05:00,False,False,5
ASSIGN_39,2024-02-10T09:00:00-05:00,AGENT002,REQ_FOLLOWUP_002,2024-02-17T09:00:00-05:00,True,False,5
ASSIGN_40,2024-02-13T09:00:00-05:00,AGENT003,REQ_FOLLOWUP_003,2024-02-20T09:00:00-05:00,True,False,5
ASSIGN_41,2024-02-13T09:00:00-05:00,AGENT001,REQ_FOLLOWUP_001,2024-02-20T09:00:00-05:00,True,False,5
ASSIGN_42,2024-02-15T09:00:00-05:00,AGENT004,REQ_FOLLOWUP_004,2024-02-22T09:00:00-05:00,True,False,5
ASSIGN_43,2024-02-15T09:00:00-05:00,AGENT005,REQ_SKILLC_001,2024-02-22T09:00:00-05:00,False,False,5
ASSIGN_44,2024-02-22T09:00:00-05:00,AGENT005,REQ_FOLLOWUP_005,2024-02-29T09:00:00-05:00,True,False,5
