flow_id,requestSource,customerSupportModel,requestType,focTarget
1.0,bcom,other,other,0.0
2.0,other,non-standard,disconnect,0.0
3.0,other,non-standard,disconnect,2.0
4.0,other,non-standard,disconnect,4.0
5.0,other,non-standard,inquiry,0.0
6.0,other,non-standard,nmac,0.0
7.0,other,non-standard,nmac,2.0
8.0,other,non-standard,nmac,4.0
9.0,other,non-standard,nmac,5.0
10.0,other,other,disconnect,0.0
11.0,other,other,disconnect,2.0
12.0,other,other,disconnect,4.0
13.0,other,other,disconnect,5.0
14.0,other,other,disconnect,15.0
15.0,other,other,inquiry,0.0
16.0,other,other,nmac,0.0
17.0,other,other,nmac,2.0
18.0,other,other,nmac,4.0
19.0,other,other,nmac,5.0
20.0,other,other,nmac,10.0
21.0,other,other,other,0.0
