requestSource,product,serviceRegion,requestType,focTarget
egain,broadband,nb,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,btce,west,billinginquiry-dispute,0.0
smartpath,conferencingservices,on,billinginquiry-copyofinvoice,0.0
smartpath,datacentreandcloud,on,disconnect,0.0
pss,businesslines,on,billinginquiry-billingaccountupdate,0.0
pss,tollfree,on,generalinquiry-othergeneral,0.0
kana,dryloopdsl,qc,change,0.0
smartpath,globalipvpn,intl,disconnect,0.0
smartpath,siptrunk,on,billinginquiry-balancetransferpaymentupdate,0.0
ssc,businessinternet,east,generalinquiry-othergeneral,0.0
smartpath,eip,on,billinginquiry-billingaccountupdate,0.0
kana,digitalprivateline,qc,generalinquiry-othergeneral,0.0
smartpath,businessinternetdedicated,on,coaching,0.0
eom,siptrunk,west,pcoesamedayexpedite,0.0
smartpath,globalipvpn,intl,generalinquiry-pricingconfirmation,0.0
kana,centrex,west,add,0.0
smartpath,eip,ns,generalinquiry-othergeneral,0.0
smartpath,businessinternet,nl,generalinquiry-accountcontractupdate,0.0
kana,siptrunk,west,billinginquiry-otherbilling,0.0
smartpath,corporatehardwareorders,qc,hardwareordercancel,0.0
smartpath,siptrunk,on,portout,0.0
smartpath,eip,on,billinginquiry-invoiceexplanation,0.0
ssc,eip,on,generalinquiry-serviceaddressinformation,0.0
smartpath,digitalprivateline,on,change,0.0
smartpath,directorylisting,qc,generalinquiry-accountcontractupdate,0.0
email,saput,qc,billinginquiry-otherbilling,0.0
smartpath,businessinternetdedicated,nb,add,0.0
smartpath,businesslines,east,generalinquiry-othergeneral,0.0
smartpath,businesslines,nb,billinginquiry-dispute,0.0
smartpath,corporatehardwareorders,nl,hardwareorderchange,0.0
smartpath,tollfree,ns,add,0.0
pss,businessinternet,on,billinginquiry-copyofinvoice,0.0
smartpath,businessinternetbrokered,ab,billinginquiry-otherbilling,0.0
smartpath,localaccesspackage,on,add,0.0
smartpath,broadband,on,generalinquiry-transferresponsibility,0.0
smartpath,managedsecurityservices,nb,generalinquiry-othergeneral,0.0
smartpath,broadband,bc,disconnect,0.0
pwo,businessinternetbrokered,new brunswick,new,0.0
smartpath,tollfree,on,billinginquiry-obmsupport,0.0
smartpath,tollfree,qc,billinginquiry-invoiceexplanation,0.0
kana,datalegacy,ab,disconnect,0.0
smartpath,btce,ns,new,0.0
eom,businessinternetdedicated,east,facilitycheck,0.0
smartpath,tollfreeinternational,qc,coaching,0.0
email,ethernet,intl,add,0.0
kana,switchredirect,on,disconnect,0.0
kana,businessinternet,on,generalinquiry-transferresponsibility,0.0
kana,localaccesspackage,on,change,0.0
kana,saput,east,billinginquiry-otherbilling,0.0
smartpath,ipvpn,on,billinginquiry-otherbilling,0.0
smartpath,localaccesspackage,on,disconnect,0.0
smartpath,megalink,on,generalinquiry-copyofequipmentrecord,0.0
eom,siptrunk,qc,generalinquiry-othergeneral,0.0
kana,sap,on,move,0.0
smartpath,broadband,qc,billinginquiry-copyofinvoice,0.0
kana,centrex,on,generalinquiry-portout,0.0
eom,globalprivateline,on,agreementcreation,0.0
smartpath,businesslines,on,generalinquiry-pricingconfirmation,0.0
kana,tollfree,nb,winback,0.0
eom,businessinternetdedicated,on,escpartner,0.0
smartpath,sap,on,generalinquiry-accountcontractupdate,0.0
smartpath,btce,west,generalinquiry-othergeneral,0.0
eom,tollfreeinternational,qc,pcoesamedayexpedite,0.0
pss,businessinternetdedicated,on,billinginquiry-copyofinvoice,0.0
eomtask,btce,qc,removelicense,0.0
eom,infrastructureservices,on,agreementcreationvalidated,0.0
eom,wavelength,intl,project,0.0
smartpath,businessinternetdedicated,qc,billinginquiry-incorrectrate,0.0
smartpath,conferencingservices,on,change,0.0
kana,ipvpn,bc,generalinquiry-othergeneral,0.0
smartpath,managedservices,ns,change,0.0
kana,businesslines,west,billinginquiry-otherbilling,0.0
smartpath,businesslines,sk,add,0.0
kana,btce,on,generalinquiry-serviceaddressinformation,0.0
smartpath,businessinternetdedicated,on,generalinquiry-transferresponsibility,0.0
smartpath,megalink,ns,generalinquiry-directinwardcalling,0.0
smartpath,professionalservices,bc,billinginquiry-invoiceexplanation,0.0
eom,localaccesspackage,east,agreementcreation,0.0
smartpath,saput,qc,billinginquiry-copyofinvoice,0.0
smartpath,niceincontactcxone,qc,change,0.0
kana,ipvpn,on,generalinquiry-accountcontractupdate,0.0
smartpath,corporatehardwareorders,qc,noactionrequired,0.0
smartpath,datalegacy,on,escpartner,0.0
smartpath,bellmerakimanagement,on,add,0.0
smartpath,corporatehardwareorders,on,deploymentupgrade,0.0
eom,microlink | centrex,qc,pcoesamedayexpedite,0.0
kana,businessinternet,on,billinginquiry-invoiceexplanation,0.0
kana,directorylisting,west,generalinquiry-directorylistings,0.0
pss,businessinternet,on,generalinquiry-transferresponsibility,0.0
smartpath,globalbusinessinternetservice,on,coaching,0.0
eom,business internet dedicated | business internet dedicated | ethernet internetworking priority | 1fl,qc,agreementregistered,0.0
ssc,tollfree,on,generalinquiry-directinwardcalling,0.0
ssc,otherdataservices,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,vnet,qc,add,0.0
smartpath,siptrunk,ab,glct,0.0
smartpath,corporateaccountservice,on,new,0.0
smartpath,businessinternet,on,billinginquiry-billingaccountupdate,0.0
smartpath,corporatebillinginquiries,on,billinginquiry,0.0
pwo,businessinternetdedicated,on,agreementcreation,0.0
ssc,tollfree,ns,disconnect,0.0
pss,businesslines,ab,generalinquiry-othergeneral,0.0
eom,globalbusinessinternetdedicated,qc,pricing,0.0
smartpath,corporatehardwareorders,on,newactivationportin,0.0
smartpath,businessinternetdedicated,qc,agreementcreation,0.0
smartpath,btce,bc,billinginquiry-invoiceexplanation,0.0
smartpath,centrex,ns,generalinquiry-copyofequipmentrecord,0.0
smartpath,businesslines,on,escpartner,0.0
smartpath,vnet,ab,add,0.0
ssc,centrex,on,billinginquiry-otherbilling,0.0
smartpath,siptrunk,on,generalinquiry-pricingconfirmation,0.0
kana,datalegacy,nl,disconnect,0.0
eom,ethernet,qc,facilitycheck,0.0
smartpath,internetconnectservice,on,facilitycheck,0.0
kana,siptrunk,on,generalinquiry-copyofequipmentrecord,0.0
smartpath,corporateaccountservice,bc,newactivationportin,0.0
smartpath,siptrunk,bc,coaching,0.0
smartpath,siptrunk,ab,coaching,0.0
smartpath,corporategeneralinquiries,on,technicalsupport,0.0
smartpath,broadband,pe,billinginquiry-otherbilling,0.0
smartpath,businessinternet,qc,reconnection,0.0
kana,businesslines,nl,disconnect,0.0
smartpath,megalink,pe,add,0.0
smartpath,businesslines,on,billinginquiry-invoiceexplanation,0.0
pss,businesslines,west,billinginquiry-billingaccountupdate,0.0
smartpath,digitalprivateline,qc,glct,0.0
pss,datalegacy,on,disconnect,0.0
kana,businessinternetdedicated,on,generalinquiry-othergeneral,0.0
pss,businessinternet,qc,billinginquiry-copyofinvoice,0.0
smartpath,sap,on,coaching,0.0
smartpath,businessinternetbrokered,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,corporatehardwareorders,ns,hardwareorderchange,0.0
pss,localaccesspackage,on,move,0.0
smartpath,siptrunk,ab,generalinquiry-othergeneral,0.0
pss,datalegacy,qc,disconnect,0.0
smartpath,btce,west,coaching,0.0
smartpath,tollfree,qc,billinginquiry-copyofinvoice,0.0
eom,businessinternet,qc,project,0.0
smartpath,businessinternet,qc,billinginquiry-invoiceexplanation,0.0
ssc,businesslines,ab,billinginquiry-copyofinvoice,0.0
ssc,businessinternet,qc,generalinquiry-pricingconfirmation,0.0
smartpath,corporateaccountservice,on,changesim,0.0
kana,businessinternetbrokered,on,billinginquiry-otherbilling,0.0
kana,megalink,west,move,0.0
smartpath,globalipvpn,on,billinginquiry-copyofinvoice,0.0
smartpath,audioconferencing,on,billinginquiry-dispute,0.0
smartpath,corporatereporting,on,serviceandrepair,0.0
smartpath,businessinternet,qc,billinginquiry-incorrectrate,0.0
ssc,centrex,on,generalinquiry-serviceaddressinformation,0.0
smartpath,professionalservices,west,coaching,0.0
ssc,businesslines,qc,generalinquiry-pricingconfirmation,0.0
smartpath,broadband,on,generalinquiry-pricingconfirmation,0.0
smartpath,globalipvpn,qc,disconnect,0.0
ssc,locallink,west,billinginquiry-copyofinvoice,0.0
ssc,businesslines,nl,disconnect,0.0
email,corporatehardwareorders,nl,changesim,0.0
ssc,businessinternet,mb,generalinquiry-othergeneral,0.0
kana,businesslines,ab,generalinquiry-othergeneral,0.0
kana,tollfree,on,billinginquiry-otherbilling,0.0
smartpath,businessinternet,on,disconnect,0.0
smartpath,tollfree,nl,disconnect,0.0
smartpath,megalink,east,billinginquiry-otherbilling,0.0
pss,audioconferencing,on,billinginquiry-otherbilling,0.0
smartpath,centrex,west,disconnect,0.0
smartpath,businessinternetbrokered,ab,billinginquiry-invoiceexplanation,0.0
smartpath,businesslines,nl,billinginquiry-dispute,0.0
smartpath,megalink,ab,billinginquiry-otherbilling,0.0
ssc,businesslines,pe,disconnect,0.0
smartpath,ondemandcontactcentre,on,add,0.0
kana,localaccesspackage,on,generalinquiry-othergeneral,0.0
email,wavelength,intl,billinginquiry-obmsupport,0.0
ssc,centrex,qc,billinginquiry-incorrectrate,0.0
kana,tollfree,on,generalinquiry-feasibilityinformation,0.0
smartpath,businessinternet,on,generalinquiry-portout,0.0
smartpath,businesslines,nl,billinginquiry-otherbilling,0.0
ssc,businessinternet,west,billinginquiry-incorrectrate,0.0
kana,businessinternet,qc,generalinquiry-serviceaddressinformation,0.0
pwo,businessinternet,on,billinginquiry-otherbilling,0.0
smartpath,tollfree,on,generalinquiry-serviceaddressinformation,0.0
smartpath,ipvpn,ns,generalinquiry-othergeneral,0.0
kana,businessinternetdedicated,west,move,0.0
smartpath,corporatehardwareinquiries,on,new,0.0
smartpath,sap,qc,billinginquiry-copyofinvoice,0.0
kana,saput,on,add,0.0
smartpath,megalink,qc,new,0.0
smartpath,centrex,on,billinginquiry-copyofinvoice,0.0
smartpath,tollfree,on,billinginquiry-incorrectrate,0.0
smartpath,datalegacy,on,generalinquiry-reseller,0.0
kana,datalegacy,qc,add,0.0
smartpath,datalegacy,ab,generalinquiry-serviceaddressinformation,0.0
eom,globalipvpn,intl,agreementcreationvalidated,0.0
kana,wavelength,intl,add,0.0
eom,businessinternetdedicated,west,facilitycheck,0.0
kana,ethernet,west,move,0.0
smartpath,conferencingservices,on,disconnect,0.0
smartpath,businessinternetdedicated,bc,billinginquiry-otherbilling,0.0
smartpath,businessinternet,west,generalinquiry-serviceaddressinformation,0.0
smartpath,ethernet,qc,agreementcreation,0.0
smartpath,datalegacy,west,change,0.0
smartpath,ipvpn,qc,billinginquiry-copyofinvoice,0.0
pss,tollfree,west,billinginquiry-otherbilling,0.0
smartpath,centrex,ns,disconnect,0.0
smartpath,businessinternetdedicated,qc,migration,0.0
smartpath,businessinternet,on,generalinquiry-accountcontractupdate,0.0
kana,centrex,on,move,0.0
kana,wavelength,intl,pricing,0.0
email,webex,qc,change,0.0
smartpath,businessinternet,nb,generalinquiry-accountcontractupdate,0.0
smartpath,megalink,ab,billinginquiry-copyofinvoice,0.0
smartpath,datalegacy,nb,generalinquiry-othergeneral,0.0
kana,megalink,qc,add,0.0
smartpath,tollfree,west,generalinquiry-othergeneral,0.0
eom,businessinternetdedicated,west,pcoesamedayexpedite,0.0
kana,broadband,on,3235,0.0
pss,switchredirect,on,generalinquiry-othergeneral,0.0
smartpath,broadcast,on,change,0.0
email,ondemandcontactcentre,nl,add,0.0
kana,msos365,on,change,0.0
email,ondemandcontactcentre,nb,generalinquiry-othergeneral,0.0
smartpath,managedsecurityservices,qc,disconnect,0.0
smartpath,payphone,on,billinginquiry-balancetransferpaymentupdate,0.0
kana,businesslines,qc,winback,0.0
kana,sap,west,billinginquiry-otherbilling,0.0
smartpath,centrex,on,billinginquiry-balancetransferpaymentupdate,0.0
eom,managedservices,on,escpartner,0.0
smartpath,ipvpn,bc,billinginquiry-incorrectrate,0.0
pss,businessinternetdedicated,qc,billinginquiry-copyofinvoice,0.0
ssc,businessinternet,qc,change,0.0
smartpath,businesslines,east,generalinquiry-serviceaddressinformation,0.0
smartpath,bandwidthselect,on,disconnect,0.0
smartpath,globalipvpn,west,change,0.0
smartpath,corporateselfservetools,on,nationaldistributionteam,0.0
kana,businessinternetbrokered,west,disconnect,0.0
smartpath,centrex,nb,move,0.0
smartpath,businesslines,west,billinginquiry-copyofinvoice,0.0
ssc,businesslines,on,billinginquiry-billingaccountupdate,0.0
pss,wavelength,on,generalinquiry-othergeneral,0.0
smartpath,tollfree,qc,generalinquiry-feasibilityinformation,0.0
ssc,businessinternet,nb,move,0.0
pss,sap,qc,generalinquiry-othergeneral,0.0
kana,businessinternetdedicated,qc,generalinquiry-transferresponsibility,0.0
smartpath,businessinternetdedicated,qc,billinginquiry-otherbilling,0.0
smartpath,dryloopdsl,on,billinginquiry-otherbilling,0.0
kana,tollfree,on,move,0.0
kana,ethernet,on,change,0.0
kana,businessinternet,qc,disconnect,0.0
kana,vnet,on,billinginquiry-invoiceexplanation,0.0
smartpath,businesslines,mb,new,0.0
eom,businessinternetbrokered,west,agreementcreationvalidated,0.0
smartpath,ethernet,ab,generalinquiry-othergeneral,0.0
kana,businesslines,pe,disconnect,0.0
kana,msos365,qc,generalinquiry-othergeneral,0.0
smartpath,btce,qc,migration,0.0
kana,businesslines,on,change,0.0
smartpath,businessinternet,nb,pinreset,0.0
kana,resellerinternet,qc,change,0.0
smartpath,managedsecurityservices,qc,generalinquiry-othergeneral,0.0
kana,datalegacy,qc,billinginquiry-copyofinvoice,0.0
